Label,Latitude,Longitude
427,30.2308329,-97.7018942
430,30.2807291,-97.7002013
431,30.3729183,-97.7012908
433,30.3763286,-97.7399004
434,30.3440616,-97.6622275
440,30.3494228,-97.7497853
444,30.433351,-97.738858
447,30.241738,-97.7301504
448,30.196767,-97.7554631
451,30.3781385,-97.676472
452,30.3458999,-97.6957587
453,30.2965321,-97.6992187
456,30.1751572,-97.886629
457,30.2229102,-97.7199532
458,30.1851812,-97.7813485
461,30.2806235,-97.6794791
463,30.2720585,-97.7412819
466,30.2768733,-97.7191547
467,30.3306769,-97.71835
468,30.2117953,-97.7379114
471,30.415387,-97.6897479
473,30.4620265,-97.7974815
474,30.2062849,-97.6360338
477,30.2451465,-97.7513871
480,30.2306615,-97.8331064
481,30.3751548,-97.755624
485,30.3708661,-97.7028852
487,30.3510242,-97.7145606
488,30.3532828,-97.73256
492,30.3077643,-97.7197507
493,30.2701793,-97.7714687
499,30.2349321,-97.8104885
503,30.3397675,-97.7167528
506,30.1739905,-97.8236615
508,30.3560462,-97.7032576
509,30.2161291,-97.76914
510,30.2075794,-97.7822768
512,30.2700838,-97.7357138
513,30.2980548,-97.7074781
517,30.3618841,-97.692353
519,30.2267903,-97.7486537
522,30.1542734,-97.748485
523,30.337921,-97.7237248
524,30.1950629,-97.737145
526,30.2146846,-97.7513146
527,30.2249902,-97.7069434
533,30.2628232,-97.7039182
534,30.2317142,-97.6962006
535,30.2396554,-97.7503683
536,30.2293206,-97.706604
540,30.2356503,-97.6918107
541,30.283146,-97.7657689
546,30.3179746,-97.6624043
547,30.2999944,-97.716652
548,30.3092525,-97.7266492
551,30.2990294,-97.6867987
553,30.3482745,-97.7121744
555,30.2244798,-97.6787192
560,30.276563,-97.7144637
563,30.2041595,-97.7537998
568,30.282754,-97.7153986
569,30.2680294,-97.7376227
571,30.300824,-97.7522748
572,30.3563805,-97.6983708
578,30.233332,-97.7344439
580,30.3870772,-97.6971259
582,30.3171096,-97.6684199
584,30.212079,-97.7713945
587,30.2856055,-97.7261596
590,30.3741405,-97.7026817
593,30.3070716,-97.6542235
596,30.407979,-97.677709
599,30.3300441,-97.6588711
600,30.3238041,-97.7289097
605,30.3167212,-97.7556886
606,30.2363619,-97.6968466
610,30.3323659,-97.6373506
612,30.2409675,-97.6915734
617,30.2562161,-97.735298
618,30.1939601,-97.7897695
619,30.3460843,-97.7039351
621,30.1855485,-97.7811457
623,30.2129231,-97.7770278
631,30.2018714,-97.7932975
632,30.1479037,-97.7992345
634,30.1714016,-97.621348
635,30.373911,-97.7214663
637,30.2002268,-97.7350463
639,30.2709311,-97.7381657
641,30.225643,-97.7468601
643,30.2822199,-97.7291412
647,30.2687012,-97.7353518
648,30.298607,-97.744087
652,30.269795,-97.7376164
654,30.2949713,-97.7070612
655,30.3560648,-97.7526425
657,30.3745956,-97.7023426
660,30.2135194,-97.7368073
661,30.1996655,-97.7639283
662,30.2342193,-97.7365612
663,30.2165021,-97.7943473
664,30.3778654,-97.7051368
665,30.3113721,-97.7105552
667,30.3106886,-97.7076669
670,30.3360901,-97.6571783
671,30.3106624,-97.7071953
673,30.2230028,-97.7336926
